location,dates,job-title,summary,pros,cons,overall-ratings,pros_clean,pros_lemmas,cons_clean,cons_lemmas,full_review_lemmas,pros_vader,cons_vader,cons_textblob,sentiment_final
none,2018-12-03,Current Employee - Anonymous Employee,Account Technology Strategist,Great culture and good work-life balance,Too many processes and it's a big company so it's easy to get lost in the crowd,5.0,great culture and good worklife balance,great culture good worklife balance,too many processes and its a big company so its easy to get lost in the crowd,many process big company easy get lose crowd,great culture good worklife balance many process big company easy get lose crowd,0.7906,0.2212,0.3111111111111111,Positivo
none,2018-12-04,Former Employee - Anonymous Employee,Microsoft takes very good care of their employees,Salary and Bonuses are very generous (can you say golden handcuffs?) Benefits are excellent Good teamwork within my workgroup,"While Satya has done a terrific job of changing the culture to a more positive stance, There is still a ways to go to achieve his ""One Microsoft"" vision.",5.0,salary and bonuses are very generous can you say golden handcuffs benefits are excellent good teamwork within my workgroup,salary bonus generous say golden handcuff benefit excellent good teamwork within workgroup,while satya has done a terrific job of changing the culture to a more positive stance there is still a ways to go to achieve his one microsoft vision,satya do terrific job change culture positive stance still way go achieve one microsoft vision,salary bonus generous say golden handcuff benefit excellent good teamwork within workgroup satya do terrific job change culture positive stance still way go achieve one microsoft vision,0.9468,0.8399,0.24242424242424243,Positivo
none,2018-12-02,Current Employee - Anonymous Employee,Top notch benefits and work like balance,"Great work like balance, benefits and career oportinities",Inefficiencies from time to time,5.0,great work like balance benefits and career oportinities,great work like balance benefit career oportinitie,inefficiencies from time to time,inefficiency time time,great work like balance benefit career oportinitie inefficiency time time,0.8481,0.0,0.0,Neutral
none,2018-12-01,Current Employee - Anonymous Employee,Good work life balance,Good work life balance and good job outlook,Management can be risk aversive,5.0,good work life balance and good job outlook,good work life balance good job outlook,management can be risk aversive,management risk aversive,good work life balance good job outlook management risk aversive,0.7003,-0.5719,0.0,Negativo
"Redmond, WA",2018-11-28,Current Employee - Senior Program Manager,Good Overall,Company with a clear purpose,a large share of workforce close to retirement and doesn't incur curiosity in day to day work,5.0,company with a clear purpose,company clear purpose,a large share of workforce close to retirement and doesnt incur curiosity in day to day work,large share workforce close retirement not incur curiosity day day work,company clear purpose large share workforce close retirement not incur curiosity day day work,0.3818,0.296,0.21428571428571427,Positivo
none,2018-11-26,Current Employee - Anonymous Employee,Excellent company to work for,"Great benefits, excellent work environment",none that I can point out,5.0,great benefits excellent work environment,great benefit excellent work environment,none that i can point out,none point,great benefit excellent work environment none point,0.886,0.0,0.0,Neutral
none,2018-11-26,Current Employee - Anonymous Employee,Service Engineer,"Great benefits, awesome management structure",Sometimes crunches can last longer than expected.,5.0,great benefits awesome management structure,great benefit awesome management structure,sometimes crunches can last longer than expected,sometimes crunch last long expect,great benefit awesome management structure sometimes crunch last long expect,0.8957,0.0,-0.05,Neutral
none,2018-12-11,Former Employee - Anonymous Employee,Great if you get support. A nightmare if you don't.,"Fantastic benefits, perks, and connections.","Misleading ideology statements, no HR response to toxic work environment complaints, bad work/life balance, entrenched corporate culture undermines company focus.",2.0,fantastic benefits perks and connections,fantastic benefit perk connection,misleading ideology statements no hr response to toxic work environment complaints bad worklife balance entrenched corporate culture undermines company focus,mislead ideology statement no hr response toxic work environment complaint bad worklife balance entrench corporate culture undermine company focus,fantastic benefit perk connection mislead ideology statement no hr response toxic work environment complaint bad worklife balance entrench corporate culture undermine company focus,0.7351,-0.91,-0.3499999999999999,Negativo
none,2018-11-22,Former Employee - Anonymous Employee,Program Manager,"Clarity of work, growth, smart coworkers, benefits","Salary, hierarchical, deep rooted long term relationships/loyalties in teams made it hard for new team members.",5.0,clarity of work growth smart coworkers benefits,clarity work growth smart coworker benefit,salary hierarchical deep rooted long term relationshipsloyalties in teams made it hard for new team members,salary hierarchical deep root long term relationshipsloyaltie team make hard new team member,clarity work growth smart coworker benefit salary hierarchical deep root long term relationshipsloyaltie team make hard new team member,0.8625,-0.1027,-0.05132575757575758,Negativo
none,2018-11-25,Current Employee - Anonymous Employee,Project Manager,Great work benefits and life,time consuming and tasking on brain,5.0,great work benefits and life,great work benefit life,time consuming and tasking on brain,time consume task brain,great work benefit life time consume task brain,0.7717,0.0,0.0,Neutral
"Beaufort, SC",2018-11-26,Former Employee - Occupational Health and Safety Specialist,Occupational Safety and Health Specialist in the field,Help people work safely in the field.,Start very early in the morning. Need to be in the field during bad weather.,5.0,help people work safely in the field,help people work safely field,start very early in the morning need to be in the field during bad weather,start early morning need field bad weather,help people work safely field start early morning need field bad weather,0.7096,-0.5423,-0.2849999999999999,Negativo
"Sammamish, WA",2018-12-09,Current Employee - Senior Program Manager,Autonomy and opportunity for impact. Define what and why and help guide how working with engineering managers.,Great work life balance. Impactful work.,Organizational decision making and prioritization can be problematic depending on the org and how your team fits into the org charter.,4.0,great work life balance impactful work,great work life balance impactful work,organizational decision making and prioritization can be problematic depending on the org and how your team fits into the org charter,organizational decision making prioritization problematic depend org team fit org charter,great work life balance impactful work organizational decision making prioritization problematic depend org team fit org charter,0.6249,-0.4404,0.0,Negativo
"Redmond, WA",2018-12-10,Former Employee - Anonymous Employee,Inventory Control Expert,"Benefits for part time employees, education opportunities, schedule flexibility, and high starting pay.","If you start at the retail level, you are unlikely to move to corporate. There is a lot of unnecessary jargon to learn. At the end of the day it is still retail and with retail comes all the ups and downs of that industry.",3.0,benefits for part time employees education opportunities schedule flexibility and high starting pay,benefit part time employee education opportunity schedule flexibility high starting pay,if you start at the retail level you are unlikely to move to corporate there is a lot of unnecessary jargon to learn at the end of the day it is still retail and with retail comes all the ups and downs of that industry,start retail level unlikely move corporate lot unnecessary jargon learn end day still retail retail come up down industry,benefit part time employee education opportunity schedule flexibility high starting pay start retail level unlikely move corporate lot unnecessary jargon learn end day still retail retail come up down industry,0.7351,0.0,-0.3,Neutral
none,2018-12-06,Current Employee - Global Program Manager,Global Program Manaer,Truly a global company. Satya Nadella Great coworkers.,"Cost savings means less collaboration. Teams will just stop doing a function, not considering the impacts to other teams and then upper management gets upset at teams delivering services on why they can't perform.  Tools and processes are blockers big time. More tools and processes are created to try and help the old processes and tools making for a complicated interrelated matrix with minimal cooperation between teams  No advancement outside of Seattle and if you are good at a role, its hard to ""be allowed"" to move on.",3.0,truly a global company satya nadella great coworkers,truly global company satya nadella great coworker,cost savings means less collaboration teams will just stop doing a function not considering the impacts to other teams and then upper management gets upset at teams delivering services on why they cant perform  tools and processes are blockers big time more tools and processes are created to try and help the old processes and tools making for a complicated interrelated matrix with minimal cooperation between teams  no advancement outside of seattle and if you are good at a role its hard to be allowed to move on,cost saving mean less collaboration team stop function not consider impact team upper management get upset team deliver service can not perform tool process blocker big time tool process create try help old process tool make complicated interrelated matrix minimal cooperation team no advancement outside seattle good role hard allow move,truly global company satya nadella great coworker cost saving mean less collaboration team stop function not consider impact team upper management get upset team deliver service can not perform tool process blocker big time tool process create try help old process tool make complicated interrelated matrix minimal cooperation team no advancement outside seattle good role hard allow move,0.7906,0.0516,0.010606060606060603,Positivo
"Redmond, WA",2018-12-07,Former Employee - Principal Level Manager,Can be a great place to work,"Smart people, lots of different products and technologies to work on, growing respect real work/life balance.",Most execs still have no idea how to deal with the AI revolution.,4.0,smart people lots of different products and technologies to work on growing respect real worklife balance,smart people lot different product technology work grow respect real worklife balance,most execs still have no idea how to deal with the ai revolution,exec still no idea deal ai revolution,smart people lot different product technology work grow respect real worklife balance exec still no idea deal ai revolution,0.7579,-0.296,0.5,Negativo
"Redmond, WA",2018-12-07,Current Employee - Software Engineer-II,"Great place to work, lower salary than Google","Intelligent coworkers, good leadership, focus on employee happiness",Lower salary than other large software companies in area,4.0,intelligent coworkers good leadership focus on employee happiness,intelligent coworker good leadership focus employee happiness,lower salary than other large software companies in area,low salary large software company area,intelligent coworker good leadership focus employee happiness low salary large software company area,0.8591,-0.296,0.04464285714285714,Negativo
"Research Triangle Park, NC",2018-12-09,Former Employee - Senior Software Engineer,Company lets managers and leads publicly reprimand their reports for technical or performance reasons,"Challenging work and environment, very capable coworkers","The company encourages a culture of managers and leads publicly reprimanding their reports for technical or performance reasons. Such feedback should be given in a private office or conf room setting rather than in hallways. An aggressive performance culture is great and poor performers can be terminated, but that should be done without humiliating well qualified engineers in front of their colleagues.",2.0,challenging work and environment very capable coworkers,challenge work environment capable coworker,the company encourages a culture of managers and leads publicly reprimanding their reports for technical or performance reasons such feedback should be given in a private office or conf room setting rather than in hallways an aggressive performance culture is great and poor performers can be terminated but that should be done without humiliating well qualified engineers in front of their colleagues,company encourage culture manager lead publicly reprimand report technical performance reason feedback give private office conf room set rather hallway aggressive performance culture great poor performer terminate do without humiliate well qualified engineer front colleague,challenge work environment capable coworker company encourage culture manager lead publicly reprimand report technical performance reason feedback give private office conf room set rather hallway aggressive performance culture great poor performer terminate do without humiliate well qualified engineer front colleague,0.5413,0.3096,0.06666666666666667,Positivo
"Redmont Park, AL",2018-12-06,Former Employee - Product Manager,Good Company!,good people which are nice to work with,long working hours at times,4.0,good people which are nice to work with,good people nice work,long working hours at times,long work hour time,good people nice work long work hour time,0.6908,0.0,-0.05,Neutral
"Bridgewater, NJ",2018-12-03,Former Employee - Assistant Store Manager,"Amazing company, but retail branch is flawed","Company mission and vision is second to none. Benefits are amazing, flexibility for a retail job is unrivaled. You get to use the latest and greatest products and software. One of the best things about the company is that the larger corporation listens to its people out in the field to improve on products and services. Tons of opportunity to learn new things.","Very little room for advancement because there are so few stores. There is almost no accountability unless they don't like you. Mixed messaging is common, but the bottom line is that you'll be expected to just do as you're told.",4.0,company mission and vision is second to none benefits are amazing flexibility for a retail job is unrivaled you get to use the latest and greatest products and software one of the best things about the company is that the larger corporation listens to its people out in the field to improve on products and services tons of opportunity to learn new things,company mission vision second none benefit amazing flexibility retail job unrivaled get use late great product software one good thing company large corporation listen people field improve product service ton opportunity learn new thing,very little room for advancement because there are so few stores there is almost no accountability unless they dont like you mixed messaging is common but the bottom line is that youll be expected to just do as youre told,little room advancement store almost no accountability unless not like mixed messaging common bottom line expect tell,company mission vision second none benefit amazing flexibility retail job unrivaled get use late great product software one good thing company large corporation listen people field improve product service ton opportunity learn new thing little room advancement store almost no accountability unless not like mixed messaging common bottom line expect tell,0.9223,-0.252,-0.16875,Negativo
none,2018-12-06,Current Employee - Anonymous Employee,Data scientist,work life balance single office,salary is too low. too many levels.,3.0,work life balance single office,work life balance single office,salary is too low too many levels,salary low many level,work life balance single office salary low many level,0.0,-0.2732,0.25,Negativo
none,2018-12-07,Former Employee - Anonymous Employee,Good company for one who's good at soft skills.,Good insurance plans if you got a family.,"SDEs writes good leetcode solutions yet fail to make a product with good quality (most of them caused by poor design). Project managers who're always bossing around, rarely doing something meaningful but got promoted so much easier compared to SDEs.",3.0,good insurance plans if you got a family,good insurance plan get family,sdes writes good leetcode solutions yet fail to make a product with good quality most of them caused by poor design project managers whore always bossing around rarely doing something meaningful but got promoted so much easier compared to sdes,sde write good leetcode solution yet fail make product good quality cause poor design project manager whore always boss around rarely something meaningful get promote much easy compare sde,good insurance plan get family sde write good leetcode solution yet fail make product good quality cause poor design project manager whore always boss around rarely something meaningful get promote much easy compare sde,0.4404,0.8067,0.24999999999999997,Positivo
"Phoenix, AZ",2018-11-21,Former Employee - Customer Service Representative,Great,"Great ooace to work, friendly people",I have none to report now,5.0,great ooace to work friendly people,great ooace work friendly people,i have none to report now,none report,great ooace work friendly people none report,0.8074,0.0,0.0,Neutral
none,2018-11-21,Current Employee - Anonymous Employee,Debugging engineer,Plenty of technologies to learn,Management is reluctant for any positive change,5.0,plenty of technologies to learn,plenty technology learn,management is reluctant for any positive change,management reluctant positive change,plenty technology learn management reluctant positive change,0.0,0.3818,0.22727272727272727,Positivo
"Redmond, WA",2018-12-05,Current Employee - User Researcher,"You are the gatekeeper to your work-life balance, push back",Endless supply of new projects/exciting work. Different backgrounds are respected. Smartest people.,"Work-life balance can be achieved, but since others don't know how to, many will expect you to give unhealthy amount as well.",4.0,endless supply of new projectsexciting work different backgrounds are respected smartest people,endless supply new projectsexciting work different background respect smart people,worklife balance can be achieved but since others dont know how to many will expect you to give unhealthy amount as well,worklife balance achieve since other not know many expect give unhealthy amount well,endless supply new projectsexciting work different background respect smart people worklife balance achieve since other not know many expect give unhealthy amount well,0.7964,-0.4497,0.04999999999999999,Negativo
none,2018-11-20,Current Employee - Anonymous Employee,Review,Living compensation and salary were overall great.,There were no downsides to working here.,5.0,living compensation and salary were overall great,live compensation salary overall great,there were no downsides to working here,no downside work,live compensation salary overall great no downside work,0.6249,-0.296,0.0,Negativo
"Bellevue, WA",2018-11-30,Former Employee - Intern,Great place to work if you aren't trying to work,Literally no work Payment Seattle Free public transit Satya Looks really good on my resume now,Every other aspect that one could imagine. Please see advice to management.,2.0,literally no work payment seattle free public transit satya looks really good on my resume now,literally no work payment seattle free public transit satya look really good resume,every other aspect that one could imagine please see advice to management,every aspect one could imagine please see advice management,literally no work payment seattle free public transit satya look really good resume every aspect one could imagine please see advice management,0.6478,0.3182,-0.125,Positivo
none,2018-12-04,Former Employee - Anonymous Employee,Creative Producer,"Great benefits, smart people, interesting opportunities",Review system was not very transparent and subject to perception rather than performance (in the 10 years prior).,4.0,great benefits smart people interesting opportunities,great benefit smart people interesting opportunity,review system was not very transparent and subject to perception rather than performance in the  years prior,review system not transparent subject perception rather performance year prior,great benefit smart people interesting opportunity review system not transparent subject perception rather performance year prior,0.9287,0.0,-0.08888888888888889,Neutral
none,2018-12-04,Former Employee - Anonymous Employee,A good company,"People, culture, no overtime work","Career development, slow pace etc.",4.0,people culture no overtime work,people culture no overtime work,career development slow pace etc,career development slow pace etc,people culture no overtime work career development slow pace etc,-0.296,0.0,-0.30000000000000004,Neutral
"Redmond, WA",2018-12-04,Former Employee - Anonymous Employee,"Solutions were band-aids, not authentic. Microsoft does not ","Big company, lots of room to move around. Really smart people. Good teamwork is possible.","Not diverse in terms of thinking, ability, gender, race. The culture of the company is quite top-down as opposed to networked and empowered. Success can be dependent on one's relationship to their manager, as opposed to a multi-pronged performance system that considers teamwork, output, and learning... as the company touts.",2.0,big company lots of room to move around really smart people good teamwork is possible,big company lot room move around really smart people good teamwork possible,not diverse in terms of thinking ability gender race the culture of the company is quite topdown as opposed to networked and empowered success can be dependent on ones relationship to their manager as opposed to a multipronged performance system that considers teamwork output and learning as the company touts,not diverse term think ability gender race culture company quite topdown oppose networked empower success dependent one relationship manager oppose multipronged performance system consider teamwork output learn company tout,big company lot room move around really smart people good teamwork possible not diverse term think ability gender race culture company quite topdown oppose networked empower success dependent one relationship manager oppose multipronged performance system consider teamwork output learn company tout,0.7316,0.7096,0.3,Positivo
none,2018-12-04,Current Employee - Anonymous Employee,Engineering Mgr Comp and Benefits,1. Interesting work 2. Ability to change teams 3. Good Benefits,"1. Some teams, growth is a problem",4.0, interesting work  ability to change teams  good benefits,interesting work ability change team good benefit, some teams growth is a problem,team growth problem,interesting work ability change team good benefit team growth problem,0.8591,-0.0258,0.0,Neutral
none,2018-11-19,Former Employee - Anonymous Employee,Sr. Director,"Innovator, market leader with a clear focus",Complex/matrixed organization requires patience for orientation and alignment,5.0,innovator market leader with a clear focus,innovator market leader clear focus,complexmatrixed organization requires patience for orientation and alignment,complexmatrixed organization require patience orientation alignment,innovator market leader clear focus complexmatrixed organization require patience orientation alignment,0.3818,0.0,0.0,Neutral
none,2018-12-03,Current Employee - Anonymous Employee,Slowly making change,Overall the company is seeking to innovate and change. Definitely headed in the right direction.,Not all pockets of middle management are open minded and seeking to be disruptive. Tenure has a bias.,4.0,overall the company is seeking to innovate and change definitely headed in the right direction,overall company seek innovate change definitely head right direction,not all pockets of middle management are open minded and seeking to be disruptive tenure has a bias,not pocket middle management open minded seek disruptive tenure bias,overall company seek innovate change definitely head right direction not pocket middle management open minded seek disruptive tenure bias,0.7096,-0.4019,0.0,Negativo
"Redmond, WA",2018-11-18,Current Employee - Senior Electrical Engineer,"Solid comfortable place to work, positive culture, surrounded by high-achievers.","Respect for the individual, constant stressing of core cultural values of letting everyone be heard, etc. Decent work/life balance, though it's hugely dependent on the individual to enforce. Individuals are encouraged to engage with managers at any level (for example with your manager's manager's manager...). There's a general high-level of passion for the products we make.","Loose on process, heavy on PM's to compensate. Compensation is middle-of-the-pack. And we're still compensated on a curve, even if the compensation policy claims there's no ranking.",5.0,respect for the individual constant stressing of core cultural values of letting everyone be heard etc decent worklife balance though its hugely dependent on the individual to enforce individuals are encouraged to engage with managers at any level for example with your managers managers manager theres a general highlevel of passion for the products we make,respect individual constant stressing core cultural value let everyone hear etc decent worklife balance though hugely dependent individual enforce individual encourage engage manager level example manager manager manager general highlevel passion product make,loose on process heavy on pms to compensate compensation is middleofthepack and were still compensated on a curve even if the compensation policy claims theres no ranking,loose process heavy pm compensate compensation middleofthepack still compensate curve even compensation policy claim no ranking,respect individual constant stressing core cultural value let everyone hear etc decent worklife balance though hugely dependent individual enforce individual encourage engage manager level example manager manager manager general highlevel passion product make loose process heavy pm compensate compensation middleofthepack still compensate curve even compensation policy claim no ranking,0.8807,-0.5423,-0.13846153846153847,Negativo
"Bellevue, WA",2018-12-02,Former Employee - Receptionist,good place to work,good management in the field,bad stress load on the field,3.0,good management in the field,good management field,bad stress load on the field,bad stress load field,good management field bad stress load field,0.4404,-0.743,-0.6999999999999998,Negativo
"Seattle, WA",2018-11-17,Current Employee - Software Engineer,Great Culture,The company has really change its culture and is very innovative now.,Pays a little less than other industry leaders,5.0,the company has really change its culture and is very innovative now,company really change culture innovative,pays a little less than other industry leaders,pay little less industry leader,company really change culture innovative pay little less industry leader,0.4927,0.0,-0.1597222222222222,Neutral
none,2018-11-18,Former Employee - Anonymous Employee,Sales,"Great company, benefits, opportunities for personal growth",Dynamics silo of product development,5.0,great company benefits opportunities for personal growth,great company benefit opportunity personal growth,dynamics silo of product development,dynamic silo product development,great company benefit opportunity personal growth dynamic silo product development,0.8979,0.2732,0.0,Positivo
none,2018-11-30,Current Employee - Anonymous Employee,Director,"Diversity of opportunities, compensation and benefits, donations and giving, stance against Trump's discriminatory policies.","Combative culture (getting better), if bad manager - you're screwed or need to move.",3.0,diversity of opportunities compensation and benefits donations and giving stance against trumps discriminatory policies,diversity opportunity compensation benefit donation give stance trumps discriminatory policy,combative culture getting better if bad manager  youre screwed or need to move,combative culture get well bad manager screw need move,diversity opportunity compensation benefit donation give stance trumps discriminatory policy combative culture get well bad manager screw need move,0.765,-0.7717,-0.09999999999999992,Negativo
"Cambridge, MA",2018-11-15,Current Employee - Software Engineer,Enjoyable work,Work is often enjoyable. Great side perks like backup childcare and fairly happy team.,Can be frustrating to deal with the politics and bureaucracy.,5.0,work is often enjoyable great side perks like backup childcare and fairly happy team,work often enjoyable great side perk like backup childcare fairly happy team,can be frustrating to deal with the politics and bureaucracy,frustrating deal politic bureaucracy,work often enjoyable great side perk like backup childcare fairly happy team frustrating deal politic bureaucracy,0.9217,-0.4404,-0.4,Negativo
none,2018-11-29,Former Employee - Anonymous Employee,Product Advisor - University Village,"Great benifets, exposure to Microsoft products and coporate members, helps you stay up to date on tech.","For working for a tech company and doing first hand problem solving, you only get minimum wage. Also their point of sale devices were always either not working or very slow making sales difficult.",4.0,great benifets exposure to microsoft products and coporate members helps you stay up to date on tech,great benifet exposure microsoft product coporate member help stay date tech,for working for a tech company and doing first hand problem solving you only get minimum wage also their point of sale devices were always either not working or very slow making sales difficult,work tech company first hand problem solve get minimum wage also point sale device always either not work slow make sale difficult,great benifet exposure microsoft product coporate member help stay date tech work tech company first hand problem solve get minimum wage also point sale device always either not work slow make sale difficult,0.7717,0.1027,-0.16000000000000003,Positivo
none,2018-11-29,Current Employee - Anonymous Employee,analyst,"great culture, potential to grow","like any corporation, there are always some games to play in order to move ahead",4.0,great culture potential to grow,great culture potential grow,like any corporation there are always some games to play in order to move ahead,like corporation always game play order move ahead,great culture potential grow like corporation always game play order move ahead,0.6249,0.5994,0.0,Positivo
none,2018-11-28,Current Employee - Anonymous Employee,All depends on team,"Big company, can have many choices",Performance is highly objective based on your manager,4.0,big company can have many choices,big company many choice,performance is highly objective based on your manager,performance highly objective base manager,big company many choice performance highly objective base manager,0.0,0.0,0.0,Neutral
none,2018-11-13,Former Employee - Anonymous Employee,Product advisor,Great atmosphere to work in,Growth is slow but worth it,5.0,great atmosphere to work in,great atmosphere work,growth is slow but worth it,growth slow worth,great atmosphere work growth slow worth,0.6249,0.4854,-2.7755575615628914e-17,Positivo
"Seattle, WA",2018-11-12,Current Employee - Support Escalation Engineer,It's great.,"With any company this size, it's going to depend on your department and management. I've been here 4 years, and we're given all of the tools and flexibility needed to do our jobs well. Pay and benefits are definition top of market. Cool perks/parties/etc. Great company to work for.","There is a lot of pressure, but that again will depend on management. Probably not best for people who want to coast into retirement.",5.0,with any company this size its going to depend on your department and management ive been here  years and were given all of the tools and flexibility needed to do our jobs well pay and benefits are definition top of market cool perkspartiesetc great company to work for,company size go depend department management year give tool flexibility need job well pay benefit definition top market cool perkspartiesetc great company work,there is a lot of pressure but that again will depend on management probably not best for people who want to coast into retirement,lot pressure depend management probably not good people want coast retirement,company size go depend department management year give tool flexibility need job well pay benefit definition top market cool perkspartiesetc great company work lot pressure depend management probably not good people want coast retirement,0.9169,-0.691,-0.5,Negativo
none,2018-11-12,Current Employee - Anonymous Employee,Loved it!,People and company culture is great,"Interview process is too complicated with generic questions from the 90's like ""What are your strengths"".",5.0,people and company culture is great,people company culture great,interview process is too complicated with generic questions from the s like what are your strengths,interview process complicated generic question like strength,people company culture great interview process complicated generic question like strength,0.6249,0.3612,-0.25,Positivo
